Due_By,Priority,Bid_Sent,Bid_Sender,Bid_Sender_Num,Bid_Num,Time,Job_Name,File,Status,Job_Num,General_Contractor,Addendum,Remarks,EST,WT,TE,MBE,%,Results
15-Mar,,,,,18-147,12:00:00 P.M.,GBMC Endoscopy Relocation,#NAME?,,,,,,,,,,,
15-Mar,,,,,18-160,,3030 Waterview,#NAME?,,,,,,KE,3/15 KE,,,,
16-Mar,,,,,18-122,11:00:00 A.M.,Vet Tech @CCBC Essex,#NAME?,,,North Point Builders,,,,,,,,
16-Mar,,,,,18-153A,,Commerce Dr.Sidewalk Repair,#NAME?,,,Merrit Properties,,180069,,,,,,Awarded
16-Mar,,,,,18-153B,,Commerce Dr.Sidewalk Repair,#NAME?,,,Merrit Properties,,180070,,,,,,Awarded
16-Mar,,,,,18-153C,,Commerce Dr.Sidewalk Repair,#NAME?,,,Merrit Properties,,180071,,,,,,Awarded
16-Mar,,,,,18-159,2:00:00 P.M.,HCPS N Harford HS Greenhouse,#NAME?,,,Plano-Coudon LLC,,180059,,3/16 10:00:00 A.M. CB,No,Yes,10,Awarded
19-Mar,,,,,,2:00:00 P.M.,BGE Chiller Replacement,#NAME?,,,,,sent,DS,,,,,
19-Mar,,,,,18-146,9:00:00 A.M.,AAMC Public Restrooms,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,Yes,Yes,,
20-Mar,,,,,18-152,,Keswick Learning Center,#NAME?,,,Metro Rolling Door,,,CB,,,,,
20-Mar,,,,,18-154,,Handicapped access to smokers gazebo,#NAME?,,,Weinberg Properties,,,CB,,,,,
21-Mar,,,,,18-144,4:00:00 P.M.,Henderson-Webb Maintenance Bldg,#NAME?,,,"Riparius Construction, Inc",,,DS KE,,,,,
21-Mar,,,,,18-158,,Freeland MD Truck Repair Garage,#NAME?,,,Herb Schafer Asphalt Pavement,,,CB,,,,,
22-Mar,,,,,18-137,4:00:00 P.M.,UMB Charles Royal Envelope Improvements,#NAME?,,,"Jeffrey Brown Contracting, LLC",on server,,DS,,,,,
23-Mar,,,,,18-163,2:00:00 P.M.,IKEA Perryville Micro Market,#NAME?,,,Plano-Coudon LLC,,,,,,,,
26-Mar,,,,,18-150,5:00:00 P.M.,JHU Wyman Park 3rd Floor Renovation,#NAME?,,,"Jeffrey Brown Contracting, LLC",on server,,KE,3/16 10:00:00 A.M.,Yes,Yes,19/9,
26-Mar,,,,,18-164,,7L Lab Expansion,#NAME?,,,CYMA Builders of CM,,180085,CB,,,,,Awarded
27-Mar,,,,,18-170,,Greenebaum UMB Orthopaedic Expansion,#NAME?,,,Plano-Coudon LLC,,,,,,,,
28-Mar,,,,,18-165,,Cadence TI,#NAME?,,,"KasCon, Inc",,,,missed,,,,
28-Mar,,,,,18-175,,Towson Commons,#NAME?,,,Performance Construction,,,KE,,,,,
28-Mar,,,,,18-185,,Ulta Capitol Heights AND Westminster MD sawcutting takeoffs RFP,#NAME?,,,Desco,,,DS,,,,,
29-Mar,,,,,18-141,2:00:00 P.M.,Zenimax Online Studios TI,#NAME?,,,Kinsley Construction,,,KE,3/15 130p 3/16 10:00:00 A.M.,,,,
,,,,,,2:00:00 P.M.,,#NAME?,,,Bryco General Contractors LLC,,,,3/9 10:00:00 A.M.,,,,
29-Mar,,,,,18-177,12:00:00 P.M.,DeVita - Denton,#NAME?,,,Mullan Contracting Company,,,KE,,,,,
30-Mar,,,,,18-162,5:00:00 P.M.,FCC Catoctin Hall,#NAME?,,,"Jeffrey Brown Contracting, LLC",,sent per KE,,,Yes,,,
1-Feb,,,,,18-071,12:00:00 P.M.,Rymland Building Demo,#NAME?,,,"Shade Construction, Inc",,Chris sent out,,,,,,
1-Feb,,,,,18-074,,N. County Auto,#NAME?,,,Herb Schafer Asphalt Pavement,,,CB,,,,,
1-Feb,,,,,18-073,,1607 Beason Street Garage,#NAME?,,,MT Project Management,,Chris sent out,CB,,,,,
2-Feb,,,,,18-061,12:00:00 P.M.,JHHS GSS Intra Staff Renovation,#NAME?,,,Plano-Coudon LLC,on server,,KE,,No,No,,
2-Feb,,,,,18-081,,1981 Moreland Ave Suite 4B,#NAME?,,,Merrit Properties,,,CB,,,,,
5-Feb,,,,,18-069,2:00:00 P.M.,GBMC Kosher Pantry,#NAME?,,,"Metropolitan Builders, Inc",,,,1/30 10:00:00 A.M.,Yes,,,
5-Feb,,,,,18-080,10:00:00 A.M.,JHH Suburban Hospital ENT Clinic Expansion,#NAME?,,,"Jeffrey Brown Contracting, LLC",,Chris sent out,,,Yes,Yes,15,
6-Feb,,,,,18-034,,Gabe's,#NAME?,,,Mackenzie Contracting,,DOUBLE SHIFTS           7 DAYS A WEEK,,,Yes,Yes,18,
6-Feb,,,,,18-049,5:00:00 P.M.,Towson Univ Ctr AHU Replacement,#NAME?,,,"Jeffrey Brown Contracting, LLC",#3 on server,concrete only        BID HAS BEEN SENT,DS,1/22 9:00:00 A.M.,No,Yes,30,Awarded
6-Feb,,,,,18-086,2:00:00 P.M.,Perryville HS Boiler Replace,#NAME?,,,Bauer Mechanical,,Mechanical Demo,,,,,,
6-Feb,,,,,18-087,2:00:00 P.M.,Rising Sun ES Boiler Replace,#NAME?,,,Bauer Mechanical,,Mechanical Demo,,,,,,
6-Feb,,,,,18-088,2:00:00 P.M.,Conowingo ES Boiler Replace,#NAME?,,,Bauer Mechanical,,Mechanical Demo,,,,,,
6-Feb,,,,,18-083,5:00:00 P.M.,JHU McCoy Hall Terrace Level  Bathroom,#NAME?,,,"Jeffrey Brown Contracting, LLC",,Dbl Shifts 7 days/wk phasing? Job #180031,,,Yes,Yes,18,Awarded
6-Feb,,,,,18-085,,303 International Drive,#NAME?,,,Consolidated Coatings,,Job #180026,,,,,,Awarded
6-Feb,,,,,18-207,,JHH North Plant Boiler Feedwater Pump Replacement,#NAME?,,,,,,,,,,,
7-Feb,,,,,18-078,,Weinberg Village Concrete Repairs,#NAME?,,,Weinberg Properties,,,CB,,,,,
7-Feb,,,,,18-092,,Hospice,#NAME?,,,Reliable Commercial Construction,,job # 180028,,,,,,Awarded
8-Feb,,,,,18-070,9:00:00 A.M.,Curtis National Hand Center,#NAME?,,,Bryco General Contractors LLC,,,,2/6 11:00:00 A.M.,,,,
7-Feb,,,,,18-095,,Concourse Dr 1st & 4th Floor,#NAME?,,,RJK Construction,,Job # 180027,KE,,,,,Awarded
8-Feb,,,,,18-052,2:00:00 P.M.,3 Fire Towers,#NAME?,,,Emaryland,,submitted,KE,1/25 11:00:00 A.M.,,,,Not Awarded
8-Feb,,,,,18-056,3:00:00 P.M.,40 E Ordnance Rd Renov & Addition,#NAME?,,,Plano-Coudon LLC,,,DS KE,,No,No,,
9-Feb,,,,,18-076,10:00:00 A.M.,Harbor Freight Catonsville,#NAME?,,,Marco Contractors,,,,,,,,
13-Feb,,,,,18-089,3:00:00 P.M.,Eastern Clinic Renov on 1200 East Fayette,#NAME?,,,Trionfo Builders Group,,wage scale,,,,Yes,,
14-Feb,,,,,18-068,12:00:00 P.M.,Perry Hall Facade Renovation,#NAME?,,,Mackenzie Contracting,,,,,,,,
14-Feb,A,,,,18-091,12:00:00 P.M.,Rockt Start Park Comfort Station,#NAME?,,,Trionfo Builders Group,,,DS,,,Yes,,
14-Feb,,,,,18-065,,Med Star Devita Dialysis Units,#NAME?,,,Seakay Construction,,moved from 1/25,CB,,,,,
15-Feb,,,,,18-096,,Dypski,#NAME?,,,Merrit Properties,,,,,,,,
16-Feb,A,,,,18-057,4:00:00 P.M.,UMMS Elkridge Landing Renovation,#NAME?,,,"Jeffrey Brown Contracting, LLC",on server,,DS KE,2/6 10:00:00 A.M.,Yes,Yes,25,
16-Feb,,,,,18-090,2:00:00 P.M.,Musculoskeletal and rehab center Ste 200 alterations,#NAME?,,,"Shade Construction, Inc",on server,100% drawing avail 2/9 EXTENDED TO 2/20 12:00:00 P.M.,,2/7 11:00:00 A.M. k,,,,
16-Feb,,,,,18-099,5:00:00 P.M.,UMB W Lexington Street 2nd Floor Office Renov,#NAME?,,,"Jeffrey Brown Contracting, LLC",on server,,,,No,Yes,30,
16-Feb,,,,,18-101,12:00:00 P.M.,UMMS Admin Offices,#NAME?,,,"Scott Long Construction, Inc.",,,,,No,Yes,15,
17-Feb,,,,,18-107,,Good Sam Morgan Bldg Lounge,#NAME?,,,,,,,,,Yes,25,
19-Feb,B,,,,18-059,2:00:00 P.M.,BWMC OR 18 Renovation for Pheno Robot,#NAME?,,,CMSI,,,,,,,,
20-Feb,,,,,18-106,5:00:00 P.M.,UMB SSW 3rd floor classroom renovations,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,,,,
21-Feb,A,,,,18-094,10:00:00 A.M.,,#NAME?,,,Patriot Construction,,,KE,,No,Yes,30,
21-Feb,,,,,18-113,,Fairway Hills GC,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,DS,,,,,
22-Feb,,,,,18-098,,WalMart Winchester,#NAME?,,,"Wagner Development Company, Inc",,Job #180036,CB,,,,,Awarded
22-Feb,,,,,18-102,,H&M,#NAME?,,,Shawmut,,Job #180051,DS,,,,,Awarded
22-Feb,,,,,18-108,5:00:00 P.M.,TU 10 West Student Housing,#NAME?,,,"Jeffrey Brown Contracting, LLC",on server,,,,,,,
22-Feb,,,,,18-082,1:00:00 P.M.,Renovation to the Capital Theratre,#NAME?,,,Lewis Contractors,on server,,,,No,Yes,5,
23-Feb,,,,,18-093,,Popeyes,#NAME?,,,ITEK,,,,2/2 10:00:00 A.M.,,,,
23-Feb,,,,,18-105,,NG Central Bldg Gator Relocation,#NAME?,,,RJK Construction,,,,,,,,
23-Feb,,,,,18-109,,Edgewood Arsenal Concrete Vault Removal,#NAME?,,,Merrit Properties,,,CB,,,,,
23-Feb,,,,,18-111,2:00:00 P.M.,Brown Memorial WD School,#NAME?,,,"Strayer Contracting, Inc",,old bid 18-017 from 1/5,KE,,,,,
23-Feb,,,,,18-112,,Harford Comm College,#NAME?,,,"Strayer Contracting, Inc",,,,,,,,
23-Feb,,,,,18-114,,1st floor Garage Area,#NAME?,,,Palmer Contracting Group LLC,,,DS,,,,,
26-Feb,,,,,18-115,2:00:00 P.M.,Cannabis Dispensary,#NAME?,,,TEEL,,,DS KE,,,,,
26-Feb,A,,,,18-079,2:00:00 P.M.,Wiser Catering,#NAME?,,,"Metropolitan Builders, Inc",on server,,DS KE,,,,,
26-Feb,,,,,18-110,,7130 Minstrel Way,#NAME?,,,Commercial Interiors Construction,,,CB,,,,,
27-Feb,,,,,18-100,4:00:00 P.M.,Mont. College Rockville Campus MCTV Ste Reno & Macklin Tower HVAC Upgrades,#NAME?,,,"Jeffrey Brown Contracting, LLC",on server,,KE,2/21 11:00:00 A.M.,No,,,
28-Feb,,,,,18-116,,ALDI #17,#NAME?,,,TEEL,,,DS KE,,,,,
28-Feb,,,,,18-117,,NOAA Silver Spring,#NAME?,,,TEEL,,,KE,,,,,
28-Feb,,,,,18-126,,OCV Trash Cart Pad,#NAME?,,,Oak Crest Village,,Chris sent bid           JOB #180050,CB,,,,,Awarded
28-Feb,,,,,18-128,,Ice Machine Enclosue,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,DS,,,,,
2-Jan,,,,,18-001,12:00:00 P.M.,9830 Patuxent Woods,#NAME?,,,Whiting-Turner Contracting,,,KE,,,,,
3-Jan,No Bid,,,,18-002,12:00:00 P.M.,9740 Patuxent Woods,#NAME?,,,Mackenzie Contracting,,,DS,,,,,
3-Jan,No Bid,,,,18-003,2:00:00 P.M.,JHU McCoy Residence Hall,#NAME?,,,"Jeffrey Brown Contracting, LLC",,CANCELLED,,,,,,
3-Jan,,,,,18-004,9:00:00 A.M.,Dong Lab,#NAME?,,,"Strayer Contracting, Inc",,,KE,,,,,
3-Jan,,,,,18-005,12:00:00 P.M.,Bykota Senior Ctr Elevators,#NAME?,,,Plano-Coudon LLC,on server,,DS,,,,,
3-Jan,,,,,18-006,,Hunterian & Reno,#NAME?,,,Plano-Coudon LLC,,same as Strayer Dong Lab,KE,,,,,
4-Jan,,,,,18-007,4:00:00 P.M.,Columbia Supreme Sports Club,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,
4-Jan,,,,,18-008,2:00:00 P.M.,23 Crossroads OB/GYN STE,#NAME?,,,Whiting-Turner Contracting,,,KE,,,,,
4-Jan,,,,,18-009,4:30:00 P.M.,McComa Funeral Home Addition,#NAME?,,,Plano-Coudon LLC,,,DS,,,,,
4-Jan,,,,,18-026,5:00:00 P.M.,Amports Plumbing Trench & Fill,#NAME?,,,Rocchi Construction,,Job # 180014,,,,,,
5-Jan,No Bid,,,,18-010,2:00:00 P.M.,UMBC Admin Bldg 4th Floor,#NAME?,,,"Jeffrey Brown Contracting, LLC",,abatement,,,,,,
5-Jan,,,,,18-017,2:00:00 P.M.,Brown Memorial WD School,#NAME?,,,"Strayer Contracting, Inc",,,KE,,,,,
8-Jan,,,,,18-023,9:00:00 A.M.,Site C Safety,#NAME?,,,Argo Systems,,JOB #180038 CXL,,,,,,Awarded
9-Jan,,,,,18-022,12:00:00 P.M.,Aberdeen Federal Credit Union,#NAME?,,,King Construction,,,KE,,,,,
9-Jan,,,,,18-012,,Dundalk Elementary School,#NAME?,,,,,no ITB?,KE,,,,,
9-Jan,,,,,18-029,9:00:00 A.M.,Dunkin Donuts Lothian,#NAME?,,,Mackenzie Contracting,,drawing and specs on server,,,,,,
10-Jan,,,,,18-011,12:00:00 P.M.,Bldg 21 2nd Floor,#NAME?,,,Lewis Contractors,on server,drawings under exhibits and exhibit C,KE,1/2 1130,,,,
10-Jan,,,,,18-013,2:00:00 P.M.,Bon Secours Marian Hall 3rd floor reno,#NAME?,,,Lyons Construction,on server,,KE,,,,,
10-Jan,,,,,18-014,10:00:00 A.M.,ALDI in Dundalk,#NAME?,,,TEEL,,,DS KE,,,,,
10-Jan,No Bid,,,,18-015,4:00:00 P.M.,UMMC Midtown Campus 6th floor Behavioral Unit,#NAME?,,,"Jeffrey Brown Contracting, LLC",on server,,DS,,,,,
10-Jan,,,,,18-024,2:00:00 P.M.,Brown Memorial Pres Church,#NAME?,,,"AR Marani, Inc",,rebid from Nov 2017 abatement,,1/5 10:00:00 A.M.,,,,
10-Jan,A,,,,18-030,9:00:00 A.M.,Ellicott Retreat House,#NAME?,,,"Strayer Contracting, Inc",,,DS,,,,,
10-Jan,,,,,18-035,,Lay-Z Boy Columbia,#NAME?,,,Holland Corp,,,DS,,,,,
11-Jan,,,,,18-016,,ALDI #142 Timonium,#NAME?,,,Brackenridge Construction,,,DS KE,,,,,
11-Jan,,,,,18-036,,Andrew's Parachute Loft Steel Removal,#NAME?,,,"BS Environmental, Inc",,,CB,,,,,
11-Jan,,,,,18-037,,Improvements to Lake Elkhorn Pavillion,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,DS,,,,,
11-Jan,,,,,18-039,,St. Michael's Church,#NAME?,,,"CBP Constructors, LLC",,Job # 180013,KE,,,,,Awarded
11-Jan,,,,,18-040,," ACAC Timonium Membership Suite, Cafe & Mezzanine Office",#NAME?,,,"Jeffrey Brown Contracting, LLC",,Job # 180016,KE,,,,,Awarded
11-Jan,,,,,18-041,,6th Floor Spine Center,#NAME?,,,"Shade Construction, Inc",,Job # 180019,KE,,,,,Awarded
11-Jan,,,,,18-042,,GBMC ED Crisis Intervention Center,#NAME?,,,"Metropolitan Builders, Inc",,Job # 180017,KE,,,,,Awarded
11-Jan,,,,,18-043,,BC BOE Floor Repair,#NAME?,,,Plano-Coudon LLC,,,DS,,,Yes,30,
12-Jan,B,,,,18-025,5:00:00 P.M.,Broadview Apts,#NAME?,,,"AR Marani, Inc",,,KE,,,,,
12-Jan,,,,,18-028,9:00:00 A.M.,Vetrean Affairs Medical Center @ Perry Point,#NAME?,,,Mid-Atlantic Contracting,,,,,,,,
12-Jan,,,,,18-032,4:00:00 P.M.,Chester Executive Park,#NAME?,,,Bryco General Contractors LLC,,,KE,,,,,
12-Jan,,,,,18-033,4:00:00 P.M.,Oxford Executive Park,#NAME?,,,Bryco General Contractors LLC,,,KE,,,,,
15-Jan,,,,,18-034,12:00:00 P.M.,Gabe's,#NAME?,,,Mackenzie Contracting,,,DS,,,,,
16-Jan,,,,,18-018,12:00:00 P.M.,Annapolis Community Library,#NAME?,,,Lewis Contractors,,,KE,,,,,
16-Jan,,,,,18-031,1:00:00 P.M.,Dermotology Associates,#NAME?,,,Mackenzie Contracting,,,KE,1/10 1030a,,,,
16-Jan,,,,,18-068,,FDIC LEER,#NAME?,,,"Puente Costcon JV, LLC",,Dmitriy sent quote,DS,,,,,
17-Jan,,,,,18-027,4:00:00 P.M.,JHU 3rd floor apts kitchen & bathroom reno,#NAME?,,,"Jeffrey Brown Contracting, LLC",,Job #180033,,1/10 1130a,Yes,No,,Awarded
17-Jan,,,,,18-020,12:00:00 P.M.,Double Tree Emergency Generator,#NAME?,,,"Shade Construction, Inc",,Job # 180049,DS,,,,,Awarded
17-Jan,,,,,18-038,2:00:00 P.M.,Lonza NOA Document Control,#NAME?,,,CYMA Builders of CM,on server,,,,,,,
17-Jan,,,,,18-045,10:00:00 A.M.,Kemptown ES Water Storage Tank,#NAME?,,,Denver-Elek,on server,,DS,,,,,
18-Jan,A,,,,18-021,2:00:00 P.M.,MedStar Union Mem Hosp 3rd Floor Renovation,#NAME?,,,"Shade Construction, Inc",on server,,DS,1/15 10:00:00 A.M.,,,,
18-Jan,,,,,18-048,2:00:00 P.M.,Miller's Ale House,#NAME?,,,Gallant Building Solutions,,,DS,,,,,
18-Jan,,,,,18-051,4:00:00 P.M.,JHU Clark Hall 2nd Floor Ste 201/204 Renovation,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,Yes,Yes,18,
18-Jan,,,,,18-053,4:00:00 P.M.,Einstein Bagels,#NAME?,,,"Jeffrey Brown Contracting, LLC",,Job #180021,,,,,,Awarded
22-Jan,,,,,18-047,4:00:00 P.M.,Padonia Village Fitness Center,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,No,No,,
22-Jan,,,,,18-055,12:00:00 P.M.,Ft Meade Installation,#NAME?,,,General Dynamics,,Job # 180020,JB,,,,,
23-Jan,,,,,18-019,5:00:00 P.M.,BC Drumcaster Center Reno,#NAME?,,,Plano-Coudon LLC,,Job # 180018 ?,KE,,,Yes,25,
23-Jan,,,,,18-054,12:00:00 P.M.,Millsboo Golf Course Concrete Pad,#NAME?,,,BDL Scaping,,,DS,,,,,
23-Jan,,,,,18-066,,Scarlet Place Patio Replacement,#NAME?,,,Consolidated Coatings,,Job #180044,CB,,,,,Awarded
24-Jan,,,,,18-046,3:00:00 P.M.,6040 Harford Rd Absolute Home Health Care,#NAME?,,,Plano-Coudon LLC,,,KE,No,,No,,
24-Jan,,,,,18-063,,14723 Dorsey Rd Storm Water Drains,#NAME?,,,Merrit Properties,,Job #180024,CB,,,,,Awarded
24-Jan,,,,,18-064,,6512 Holabird Ave House Demo,#NAME?,,,,,Chris sent quote 1/24,CB,,,,,
24-Jan,,,,,18-067,,Nolan Garage Vent & Storage SOW,#NAME?,,,,,,DS,,,,,
25-Jan,,,,,18-062,,Good Samaritan AHU #5,#NAME?,,,,,Chris sent quote,CB,,,,,
25-Jan,,,,,18-065,,Med Star Devita Dialysis Units,#NAME?,,,Seakay Construction,,moving due date to 2/14,CB,,,,,
29-Jan,,,,,18-050,12:00:00 P.M.,Cockeysville Grounds Storage Shed,#NAME?,,,North Point Builders,,,DS,,,Yes,14,
,,,,,,11:00:00 A.M.,,#NAME?,,,Plano-Coudon LLC,,,,,,,,
29-Jan,A,,,,18-058,9:00:00 A.M.,IRS 100 S Charles Street 7th & 8th Floors,#NAME?,,,Plano-Coudon LLC,,,KE,1/24 1:00:00 P.M.,,,,
31-Jan,,,,,18-060,12:00:00 P.M.,Metro Laundry,#NAME?,,,Mackenzie Contracting,on server,,KE,1/24 1:00:00 P.M.,,,,
31-Jan,,,,,18-072,12:00:00 P.M.,Herren House,#NAME?,,,"Strayer Contracting, Inc",,,DS,,,,,
31-Jan,,,,,18-044,4:00:00 P.M.,UMB MPRC Spring Grove Campus Alteration Tawes Ste 201,#NAME?,,,"Jeffrey Brown Contracting, LLC",on server,Job #180087,,,,,,Awarded
31-Jan,,,,,18-075,1:00:00 P.M.,Harford Co Churchville Rec Center,#NAME?,,,M & E Sales,,,DS,,,,,
31-Jan,No Bid,,,,18-077,,Dollar Tree,#NAME?,,,Cody Construction,,,DS,,,,,
,,,,,18-097,,Vault Demo,#NAME?,,,,,JOB #180035,,,,,,Awarded
1-Dec,No Bid,,,,,11:00:00 A.M.,Mondawmin Mall,#NAME?,,,Chesapeake Commerical Contracting,,,,,,,,
1-Dec,No Bid,,,,,5:00:00 P.M.,Panda Express,#NAME?,,,Frontier,,,,,,,,
1-Dec,,,,,,5:00:00 P.M.,Realogy Holdings,#NAME?,,,Plano-Coudon LLC,,,,,,,,
1-Dec,,,,,,,Floor Glue,#NAME?,,,M2,,-,KE,,,,,
1-Dec,No Bid,,,,,1:00:00 P.M.,Aldi Store #52,#NAME?,,,Kimball Construction Company,,,,,,,,
1-Dec,,,,,,,Facilities APG Vault Removal,#NAME?,,,,,,CB,,,,,
4-Dec,,,,,,4:00:00 P.M.,UMBC Terrace & Hillside,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,,,,
4-Dec,,,,,,,800 S Caton Ave,#NAME?,,,,,,KE,,,,,
5-Dec,No Bid,,,,,2:00:00 P.M.,Jessup,#NAME?,,,,,,,,,,,
5-Dec,,,,,,5:00:00 P.M.,JHU Remington,#NAME?,,,Plano-Coudon LLC,,,,,,,,
6-Dec,,,,,,5:00:00 P.M.,Good Samaritan,#NAME?,,,"Riparius Construction, Inc",,,,,,,,
6-Dec,,,,,,4:00:00 P.M.,Evangelist Pres Church,#NAME?,,,Trionfo Builders Group,,,,,,,,
7-Dec,,,,,,5:00:00 P.M.,Padonia Village Fitness,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,
7-Dec,,,,,,,Erikson Hall,#NAME?,,,"Strayer Contracting, Inc",,,KE,,,,,
7-Dec,,,,,,,5509 Dunroving Lane,#NAME?,,,,,,,,,,,
8-Dec,,,,,,,Parkview Manor Apts,#NAME?,,,,,,DS KE,,,,,
11-Dec,,,,,,3:00:00 P.M.,Severna Park,#NAME?,,,Mackenzie Contracting,,,,,,,,
11-Dec,No Bid,,,,,,Taco Bell #4910,#NAME?,,,King Construction,,,,,,,,
11-Dec,,,,,,5:00:00 P.M.,UMBC Campuswide Electrical,#NAME?,,,"Jeffrey Brown Contracting, LLC",,Job # 180025,,,,,,
12-Dec,,,,,,12:00:00 P.M.,Gerstell Academy Alumni House,#NAME?,,,Kinsley Construction,,,,,,,,
12-Dec,,,,,,,Weinberg Main Entrance Repairs,#NAME?,,,,,,,,,,,
12-Dec,,,,,,,Weinberg Smokers Gazebo,#NAME?,,,,,,,,,,,
13-Dec,,,,,,,NIST5,#NAME?,,,Legatus6,,,,,,,,
13-Dec,,,,,,2:00:00 P.M.,MD Vascular Specialists @ Columbia,#NAME?,,,"Metropolitan Builders, Inc",,,KE,,,,,Awarded
13-Dec,,,,,,,Westerman House Addition,#NAME?,,,,,,,,,,,
14-Dec,,,,,,4:00:00 P.M.,ACAC,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,Awarded
,,,,,,,,#NAME?,,,"Metropolitan Builders, Inc",,,KE,,,,,Not Awarded
14-Dec,,,,,,2:00:00 P.M.,Amsung Glen Burnie,#NAME?,,,"KasCon, Inc",,,KE,,,,,
14-Dec,,,,,,12:00:00 P.M.,ACAC Timonium Memorial Suite,#NAME?,,,"Metropolitan Builders, Inc",,,,,,,,
14-Dec,,,,,,5:00:00 P.M.,Our Lady of Fields,#NAME?,,,,,,,,,,,
15-Dec,No Bid,,,,,12:00:00 P.M.,JHU APL STE C,#NAME?,,,Kimball Construction Company,,,,,,,,
,,,,,,,,#NAME?,,,Kinsley Construction,,,,,,,,
15-Dec,No Bid,,,,,2:00:00 P.M.,JH Bayview Medical Center,#NAME?,,,Kinsley Construction,,,,,,,,
,No Bid,,,,,,,#NAME?,,,Lewis Contractors,,NOT PERFERRED CONTRACTOR,,,,,,
18-Dec,,,,,,4:00:00 P.M.,JHSPG W1030,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,
18-Dec,,,,,,12:00:00 P.M.,CSS WX NOAA PORT Antenna,#NAME?,,,,,,,,,,,
18-Dec,,,,,,2:00:00 P.M.,JHSPH W4030 Classroom Reno,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,
,,,,,,,,#NAME?,,,"Strayer Contracting, Inc",,,,,,,,
19-Dec,,,,,,11:00:00 A.M.,Miss Shirley's Patio,#NAME?,,,Whiting-Turner Contracting,,,DS,,,,,
19-Dec,,,,,,,Hospice Demo,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,
20-Dec,,,,,,9:00:00 A.M.,COPT Lobby & Restroom Reno,#NAME?,,,Plano-Coudon LLC,,,,,,,,
20-Dec,,,,,,,3 Dispensaries,#NAME?,,,TEEL,,MOVED/POSTPONED,,,,,,
20-Dec,,,,,,5:00:00 P.M.,Coppin State CSU JWJ Auditorium,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,
20-Dec,No Bid,,,,,,White Marsh Mall Tenant,#NAME?,,,King Construction,,,,,,,,
21-Dec,,,,,,2:00:00 P.M.,Coester,#NAME?,,,HBW Construction,,,KE,,,,,
21-Dec,,,,,,,Fort Meade Generator Project,#NAME?,,,Argo Systems,,,DS,,,,,
21-Dec,No Bid,,,,,5:00:00 P.M.,MD Seafood Market,#NAME?,,,Argo Systems,,DROP,,,,,,
21-Dec,,,,,,,Mission Dispenseries,#NAME?,,,HBW Construction,,SAME AS ABOVE,,,,,,
21-Dec,,,,,,,Erie Ins Conf Room,#NAME?,,,Plano-Coudon LLC,,,,,,,,
22-Dec,,,,,,,303 International Drive,#NAME?,,,,,,,,,,,
,,,,,,,,#NAME?,,,Chesapeake Commerical Contracting,,,,,,,,
22-Dec,,,,,,,Medstar 5th Floor,#NAME?,,,Plano-Coudon LLC,,,KE,,,,,
27-Dec,,,,,,10:00:00 A.M.,Capital Imoprovements,#NAME?,,,,,,KE,,,,,
27-Dec,,,,,,2:00:00 P.M.,GBMC Crisis Intervention,#NAME?,,,"Metropolitan Builders, Inc",,,KE,,,,,
,,,,,,,,#NAME?,,,Plano-Coudon LLC,,,,,,,,
,,,,,,,,#NAME?,,,"Strayer Contracting, Inc",,,KE,,,,,
29-Dec,,,,,,10:00:00 A.M.,Jimmy's Seafood,#NAME?,,,,,,,,,,,
29-Dec,,,,,,2:00:00 P.M.,Autograph Playhouse,#NAME?,,,Plano-Coudon LLC,,,,,,,,
